RPC,Address,EHO_Permit_Status,EHO_Permits,Multi_Unit_Permit,SFD_Permit,Demolition_Permit,Development_Project,Construction_Status
19018018,627 N MONROE ST,Approved,"ZEHO24-00010 (Approved), ZEHO24-00010 (Approved)",CNEW24-03179: Revisions Required (Commercial New - New 6 unit multifamily EHO structure....),RNEW25-02234: Finaled (New single family dwelling with attached garage....); RNEW25-02234: Issued Awaiting Insp (New single family dwelling with attached garage....),DEMO24-00135: Finaled; DEMO24-00135: Inspection Scheduled,627 N Monroe St (EHO) (ID: 19954) - Status: Approved (Not Under Construction),Complete
13019015,628 N TAZEWELL ST,Approved,"ZEHO24-00007 (Approved), ZEHO24-00007 (Approved)",None,RNEW25-06349: Accepted (Build a new semidetached   dwellings...); RNEW25-06349: Revisions Required (Build a new semidetached   dwellings...),None,628 N Tazewell St (EHO) (ID: 19952) - Status: Approved (Not Under Construction),Not Started
19018016,629 N MONROE ST,Approved,"ZEHO23-00041 (Approved), ZEHO23-00041 (Approved)",RNEW24-03834: Awaiting Plans and Documents (Residential New - Construct a new townhouse as part of a 3-unit townhouse EHO ...); RNEW24-01209: Revisions Received (Residential New - New 3-townhouse EHO development....),None,DEMO24-00049: Finaled; DEMO24-00049: Inspection Scheduled,629 N Monroe St (EHO) (ID: 19768) - Status: Under Construction,Underway (via DevProject)
36019004,632 20th ST S,Approved,"ZEHO24-00016 (Revisions Received), ZEHO24-00015 (Void), ZEHO25-00002 (In Review), ZEHO25-00002 (Approved), ZEHO24-00015 (Awaiting Plans and Documents), ZEHO24-00016 (Denied)",None,None,None,632 20th St S (EHO) (ID: 25473) - Status: Approved (Not Under Construction),Not Started
11005021,6410 22nd ST N,Approved,"ZEHO23-00014 (Approved), ZEHO23-00014 (Approved)",RNEW23-03525: Revisions Required (Residential New - Demolition of the existing structure and building new 3-town...); CNEW23-03501: Application Complete (Commercial New - Demolition of the existing structure and building new 3-town...); RNEW24-00893: Accepted (Residential New - CONSTRUCTION OF THREE (3) TOWNHOMES...); RNEW24-00893: Revisions Required (Residential New - CONSTRUCTION OF THREE (3) TOWNHOMES...); RNEW24-00896: Revisions Received (Residential New - Demolition of the existing structure and building new townho...); RNEW24-00899: Revisions Received (Residential New - Demolition of the existing structure and building new townho...); RNEW24-00896: Revisions Required (Residential New - Demolition of the existing structure and building new townho...); RNEW24-00899: Revisions Required (Residential New - Demolition of the existing structure and building new townho...),None,DEMO26-00080: Awaiting Plans and Documents,6410 22Nd St N (EHO) (ID: 19767) - Status: Approved (Not Under Construction),Not Started
22001067,644 S ILLINOIS ST,Approved,ZEHO23-00031 (Approved),None,None,None,644 S Illinois St (EHO) (ID: 19692) - Status: Completed,Complete (via DevProject)
01006065,6807 WILLIAMSBURG BLVD,Approved,"ZEHO24-00001 (Approved), ZEHO24-00001 (Approved)",None,RNEW24-01425: Issued Awaiting Insp (Demo existing home and Build new Single Family Residence...); RNEW24-01425: Finaled (Demo existing home and Build new Single Family Residence...),DEMO24-00014: Issued Awaiting Insp; DEMO24-00014: Expired,6807 Williamsburg Blvd (EHO) (ID: 19864) - Status: Approved (Not Under Construction),Complete
18038001,703 N BARTON ST,Approved,"ZEHO23-00045 (Revisions Required), ZEHO24-00017 (Revisions Received), ZEHO23-00045 (Void), ZEHO25-00003 (In Review), ZEHO25-00003 (Approved), ZEHO24-00017 (Denied)",None,None,None,703 N Barton St (EHO) (ID: 25474) - Status: Approved (Not Under Construction),Not Started
13025006,735 N GEORGE MASON DR,Approved,"ZEHO23-00017 (Awaiting Plans and Documents), ZEHO23-00020 (Approved), ZEHO23-00059 (Approved), ZEHO23-00020 (Approved), ZEHO23-00059 (Approved)","CNEW23-06019: Awaiting Plans and Documents (Commercial New - Construction of a new 3 story building composed of six resid...); RNEW24-01362: Revisions Required (Residential New - New construction of three, two story plus basement, townhous...)",None,DEMO24-00058: Awaiting LDA Approval; DEMO22-00076: Inspection Scheduled; DEMO22-00076: Finaled; DEMO24-00058: Expired,735 N George Mason Dr (EHO) (ID: 19689) - Status: Approved (Not Under Construction),Not Started
36031016,800 22nd ST S,Approved,"ZEHO26-00003 (Approved), ZEHO26-00003 (In Review)",None,None,DEMO26-00094: Issued Awaiting Insp; DEMO26-00094: Awaiting LDA Approval,800 22nd St S (EHO) (ID: 25561) - Status: Approved (Not Under Construction),Demolition/Site Prep
36031001,801 23rd ST S,Approved,"ZEHO26-00002 (Revisions Received), ZEHO26-00002 (Approved)",None,None,DEMO26-00093: Awaiting LDA Approval; DEMO26-00093: Issued Awaiting Insp,801 23rd St S (EHO) (ID: 25560) - Status: Approved (Not Under Construction),Demolition/Site Prep
18028017,907 N HIGHLAND ST,Approved,"ZEHO24-00014 (Approved), ZEHO24-00014 (Approved)",RNEW24-06221: Issued Awaiting Insp (Residential New - New single family dwelling with detached garage.  Previously...); RNEW24-06221: Finaled (Residential New - New single family dwelling with detached garage.  Previously...),None,DEMO25-00016: Finaled; DEMO25-00016: Inspection Scheduled,907 N Highland St (EHO) (ID: 23782) - Status: Approved (Not Under Construction),Complete
36025016,921 22nd ST S,Approved,"ZEHO23-00012 (Approved), ZEHO23-00012 (Approved)",None,RNEW25-01813: Revisions Pending (NEW DETACHED SINGLE-FAMILY HOUSE WITH ATTACHED 2-CAR GARAGE....); RNEW25-01813: Issued Awaiting Insp (NEW DETACHED SINGLE-FAMILY HOUSE WITH ATTACHED 2-CAR GARAGE....),DEMO25-00074: Inspection Scheduled; DEMO25-00074: Finaled,921 22Nd St S (EHO) (ID: 19763) - Status: Approved (Not Under Construction),Underway
